x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103
0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.6243999999999,0.0,0.0,0.0,448.914,377.892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.473,0.0,0.0,299.27599999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.412,423.57599999999996,203.944,117.66,0.0,126.2884,125.50399999999999,156.88,0.0,235.32,0.0,327.18,1108.968,78.44,235.32,352.98,0.0,235.32,0.0,172.56799999999998,235.32,376.512,258.852,871.332,0.0,0.0,232.088,0.0,1134.8982,392.472,1236.2867999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.414,0.0,621.414,0.0,0.0,138.56,0.0,654.12,0.0,654.12,0.0,0.0,0.0,0.0,621.414,1936.1951999999999,719.5319999999999,490.59,0.0,0.0,745.6967999999999,451.34279999999995,484.04879999999997,0.0,0.0,0.0,0.0,1111.3399995,1114.166809063127,650.5999999999999,861.0,711.0,1143.48452707757
0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0519999999999,0.0,0.0,0.0,481.61999999999995,436.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.3589999999999,0.0,0.0,321.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.76000000000002,492.48,237.12,136.8,0.0,146.832,145.92000000000002,182.4,0.0,273.6,0.0,331.74,1124.424,91.2,273.6,410.40000000000003,0.0,273.6,0.0,200.64000000000001,273.6,437.76,300.96000000000004,883.476,0.0,0.0,258.218,0.0,1138.0906,393.57599999999996,1239.7644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.1619999999999,0.0,623.1619999999999,0.0,0.0,154.16,0.0,655.9599999999999,0.0,655.9599999999999,0.0,0.0,0.0,0.0,623.1619999999999,1941.6415999999997,721.5559999999999,491.96999999999997,0.0,0.0,747.7943999999999,452.6123999999999,485.4103999999999,0.0,0.0,0.0,0.0,1141.9450004999999,1142.6240996542117,698.0,873.0,713.0,1143.9996392410537
0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.8408000000001,0.0,0.0,0.0,489.348,447.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.302,0.0,0.0,326.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.50400000000002,477.79200000000003,230.048,132.72,0.0,142.4528,141.568,176.96,0.0,265.44,0.0,332.5,1127.0,88.48,265.44,398.16,0.0,265.44,0.0,194.656,265.44,424.704,291.98400000000004,885.5,0.0,0.0,264.51599999999996,0.0,1139.6868,394.128,1241.5031999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.036,0.0,624.036,0.0,0.0,157.92,0.0,656.88,0.0,656.88,0.0,0.0,0.0,0.0,624.036,1944.3647999999998,722.568,492.65999999999997,0.0,0.0,748.8431999999999,453.24719999999996,486.09119999999996,0.0,0.0,0.0,0.0,1149.2599995,1149.1877849769041,709.2,875.0,714.0,1162.8584183180296
0.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0790000000001,0.0,0.0,0.0,506.115,407.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.302,0.0,0.0,337.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.96599999999998,326.268,157.09199999999998,90.63,0.0,97.27619999999999,96.672,120.83999999999999,0.0,181.26,0.0,329.08,1115.408,60.419999999999995,181.26,271.89,0.0,181.26,0.0,132.92399999999998,181.26,290.01599999999996,199.386,876.3919999999999,0.0,0.0,199.66,0.0,1139.6868,394.128,1241.5031999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.036,0.0,624.036,0.0,0.0,119.19999999999999,0.0,656.88,0.0,656.88,0.0,0.0,0.0,0.0,624.036,1944.3647999999998,722.568,492.65999999999997,0.0,0.0,748.8431999999999,453.24719999999996,486.09119999999996,0.0,0.0,0.0,0.0,1156.8850005,1157.6172350338582,733.5,866.0,714.0,1131.3892506292045
0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.795,0.0,0.0,0.0,529.5749999999999,306.17999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.302,0.0,0.0,353.04999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.548,198.504,95.576,55.14,0.0,59.1836,58.815999999999995,73.52,0.0,110.28,0.0,326.04,1105.104,36.76,110.28,165.42,0.0,110.28,0.0,80.872,110.28,176.44799999999998,121.30799999999999,868.2959999999999,0.0,0.0,81.472,0.0,1139.6868,394.128,1241.5031999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.036,0.0,624.036,0.0,0.0,48.64,0.0,656.88,0.0,656.88,0.0,0.0,0.0,0.0,624.036,1944.3647999999998,722.568,492.65999999999997,0.0,0.0,748.8431999999999,453.24719999999996,486.09119999999996,0.0,0.0,0.0,0.0,1170.1699995,1165.1566915846586,767.5,858.0,714.0,1161.9017244296908
0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.8322000000001,0.0,0.0,0.0,555.657,140.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.245,0.0,0.0,370.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.432,31.536,15.184,8.76,0.0,9.4024,9.344,11.68,0.0,17.52,0.0,326.04,1105.104,5.84,17.52,26.28,0.0,17.52,0.0,12.848,17.52,28.032,19.272,868.2959999999999,0.0,0.0,6.8340000000000005,0.0,1141.283,394.68,1243.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.91,0.0,624.91,0.0,0.0,4.08,0.0,657.8,0.0,657.8,0.0,0.0,0.0,0.0,624.91,1947.0879999999997,723.5799999999999,493.34999999999997,0.0,0.0,749.8919999999999,453.88199999999995,486.77199999999993,0.0,0.0,0.0,0.0,1189.2949995,1187.2314258430742,805.3000000000001,858.0,715.0,1165.918091812404
0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.4119999999999,0.0,0.0,0.0,578.22,21.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.245,0.0,0.0,385.47999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.04,1105.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.2959999999999,0.0,0.0,0.0,0.0,1141.283,394.68,1243.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624.91,0.0,624.91,0.0,0.0,0.0,0.0,657.8,0.0,657.8,0.0,0.0,0.0,0.0,624.91,1947.0879999999997,723.5799999999999,493.34999999999997,0.0,0.0,749.8919999999999,453.88199999999995,486.77199999999993,0.0,0.0,0.0,0.0,1205.8099995,1207.7904943247925,838.0,858.0,715.0,1193.6845163104656
0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.4390000000001,0.0,0.0,0.0,602.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.188,0.0,0.0,401.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.04,1105.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.2959999999999,0.0,0.0,0.0,0.0,1142.8792,395.23199999999997,1244.9807999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.784,0.0,625.784,0.0,0.0,0.0,0.0,658.72,0.0,658.72,0.0,0.0,0.0,0.0,625.784,1949.8111999999999,724.592,494.03999999999996,0.0,0.0,750.9408,454.51679999999993,487.45279999999997,0.0,0.0,0.0,0.0,1224.0799995,1224.8723948612617,873.5,858.0,716.0,1214.3696591518087
0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.9598,0.0,0.0,0.0,622.8629999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.188,0.0,0.0,415.24199999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.04,1105.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.2959999999999,0.0,0.0,0.0,0.0,1142.8792,395.23199999999997,1244.9807999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.784,0.0,625.784,0.0,0.0,0.0,0.0,658.72,0.0,658.72,0.0,0.0,0.0,0.0,625.784,1949.8111999999999,724.592,494.03999999999996,0.0,0.0,750.9408,454.51679999999993,487.45279999999997,0.0,0.0,0.0,0.0,1238.7700005,1238.0307249836192,902.6999999999999,858.0,716.0,1268.2188536047597
0.0,0.0,0.0,0.0,0.0,0.0,0.0,809.5862,0.0,0.0,0.0,639.147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.188,0.0,0.0,426.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.04,1105.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.2959999999999,0.0,0.0,0.0,0.0,1142.8792,395.23199999999997,1244.9807999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.784,0.0,625.784,0.0,0.0,0.0,0.0,658.72,0.0,658.72,0.0,0.0,0.0,0.0,625.784,1949.8111999999999,724.592,494.03999999999996,0.0,0.0,750.9408,454.51679999999993,487.45279999999997,0.0,0.0,0.0,0.0,1250.5600005,1249.777638479872,926.3000000000001,858.0,716.0,1224.6433425560385
